Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Sunset Crater Volcano NM,,,,,333,333,,,0,666,,666,,0,
Theodore Roosevelt Birthplace NHS,,,,,0,29,,,29,2,,31,,29,
Theodore Roosevelt NP,,,,,156,156,,,0,312,,312,,0,
Upper Delaware S&RR,,,,,"1,004",676,,,-328,"2,402",,"1,621",,-781,
Valles Caldera NPRES,,,,,32,40,,,8,64,,72,,8,
Virgin Islands NP,,,,,"6,564","3,750",,,"-2,814","12,388",,"7,500",,"-4,888",
Walnut Canyon NM,,,,,20,20,,,0,40,,40,,0,
War in the Pacific NHP,,,,,53,21,,,-32,95,,33,,-62,
Whiskeytown NRA,,,,,934,926,,,-8,"1,876",,"1,866",,-10,
Wind Cave NP,,,,,"4,598","3,858",,,-740,"8,758",,"7,999",,-759,
Women's Rights NHP,,,,,56,56,,,0,112,,112,,0,
Wright Brothers NMEM,,,,,84,84,,,0,177,,177,,0,
Wupatki NM,,,,,279,279,,,0,614,,614,,0,
Yellowstone NP,,,,,"25,108","33,810",,,"8,702","58,441",,"69,418",,"10,977",
Yosemite NP,,,,,"140,808","137,346",,,"-3,462","294,673",,"299,126",,"4,453",
Zion NP,,,,,420,420,,,0,885,,885,,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
