Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Friendship Hill NHS,,,,,"1,880","1,932",,,52,"3,221",,"3,371",,150,
Gateway Arch NP,,,,,"195,439","142,444",,,"-52,995","324,300",,"265,512",,"-58,788",
Gateway NRA,,,,,"955,527","706,128",,,"-249,399","1,815,859",,"1,548,519",,"-267,340",
Gauley River NRA,,,,,"25,356","17,532",,,"-7,824","47,764",,"28,878",,"-18,886",
General Grant NMEM,,,,,"1,988",608,,,"-1,380","3,162",,726,,"-2,436",
George Rogers Clark NHP,,,,,"5,418","4,017",,,"-1,401","9,684",,"7,212",,"-2,472",
George Washington Birthplace NM,,,,,"10,385","3,325",,,"-7,060","15,790",,"4,910",,"-10,880",
George Washington Carver NM,,,,,"1,938","1,319",,,-619,"2,785",,"2,232",,-553,
George Washington MEM PKWY,,,,,"408,398","448,255",,,"39,857","686,508",,"775,228",,"88,720",
Gettysburg NMP,,,,,"81,868","76,246",,,"-5,622","132,267",,"125,881",,"-6,386",
Gila Cliff Dwellings NM,,,,,"3,606","3,786",,,180,"5,998",,"6,076",,78,
Glacier Bay NP & PRES,,,,,"2,760","2,760",,,0,"6,708",,"6,708",,0,
Glacier NP,,,,,"68,899","60,934",,,"-7,965","124,959",,"132,905",,"7,946",
Glen Canyon NRA,,,,,"1,196,256","739,158",,,"-457,098","1,604,750",,"1,461,420",,"-143,330",
Golden Gate NRA,,,,,"2,651,387","2,568,724",,,"-82,663","5,567,087",,"5,406,291",,"-160,796",
Golden Spike NHP,,,,,"2,458","1,850",,,-608,"3,638",,"3,647",,9,
Governors Island NM,,,,,0,528,,,528,0,,710,,710,
Grand Canyon NP,,,,,"2,991,799","3,231,980",,,"240,181","5,694,285",,"6,173,670",,"479,385",
Grand Portage NM,,,,,"1,310","1,137",,,-173,"3,078",,"2,494",,-584,
Grand Teton NP,,,,,"174,526","164,232",,,"-10,294","330,458",,"327,153",,"-3,305",
Grant-Kohrs Ranch NHS,,,,,555,635,,,80,"1,278",,"1,191",,-87,
Great Basin NP,,,,,"8,227","9,173",,,946,"13,294",,"19,929",,"6,635",
Great Sand Dunes NP & PRES,,,,,"23,752","28,301",,,"4,549","37,862",,"48,031",,"10,169",
Great Smoky Mountains NP,,,,,"1,262,595","1,064,630",,,"-197,965","2,322,514",,"1,839,214",,"-483,300",
Greenbelt Park,,,,,"14,278","15,833",,,"1,555","25,711",,"31,590",,"5,879",
Guadalupe Mountains NP,,,,,"37,855","39,714",,,"1,859","66,989",,"72,463",,"5,474",
Guilford Courthouse NMP,,,,,"18,289","16,770",,,"-1,519","34,625",,"30,411",,"-4,214",
Gulf Islands NS,,,,,"1,603,068","1,690,864",,,"87,796","2,917,912",,"2,861,247",,"-56,665",
Hagerman Fossil Beds NM,,,,,968,648,,,-320,"1,208",,"1,171",,-37,
Haleakala NP,,,,,"173,999","172,385",,,"-1,614","362,847",,"357,462",,"-5,385",
Hamilton Grange NMEM,,,,,"2,900","3,337",,,437,"4,617",,"6,866",,"2,249",
Hampton NHS,,,,,"1,563",567,,,-996,"2,343",,944,,"-1,399",
Harpers Ferry NHP,,,,,"47,494","17,690",,,"-29,804","75,858",,"30,531",,"-45,327",
Harriet Tubman Underground Railroad NHP,,,,,580,580,,,0,930,,930,,0,
Harry S Truman NHS,,,,,528,410,,,-118,822,,859,,37,
Hawaii Volcanoes NP,,,,,"839,040","963,107",,,"124,067","1,712,152",,"2,082,084",,"369,932",
Herbert Hoover NHS,,,,,"7,322","7,470",,,148,"12,213",,"13,391",,"1,178",
Home of Franklin D. Roosevelt NHS,,,,,"9,074","5,318",,,"-3,756","12,440",,"9,378",,"-3,062",
Homestead NHP,,,,,"4,166","1,507",,,"-2,659","6,836",,"2,979",,"-3,857",
