Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Fort Union Trading Post NHS,,,,,101,44,,,-57,142,,113,,-29,
Fort Vancouver NHS,,,,,"77,591","76,434",,,"-1,157","150,984",,"136,744",,"-14,240",
Fort Washington Park,,,,,"15,184","17,203",,,"2,019","28,268",,"39,440",,"11,172",
Fossil Butte NM,,,,,126,132,,,6,283,,229,,-54,
Franklin Delano Roosevelt MEM,,,,,"158,286","126,908",,,"-31,378","229,237",,"184,452",,"-44,785",
Frederick Douglass NHS,,,,,"2,743","1,536",,,"-1,207","4,035",,"2,845",,"-1,190",
Frederick Law Olmsted NHS,,,,,188,224,,,36,568,,410,,-158,
Fredericksburg & Spotsylvania NMP,,,,,"52,235","54,467",,,"2,232","103,234",,"110,202",,"6,968",
Friendship Hill NHS,,,,,725,722,,,-3,"1,205",,"1,239",,34,
Gateway Arch NP,,,,,"88,836","64,747",,,"-24,089","147,409",,"120,687",,"-26,722",
Gateway NRA,,,,,"517,540","386,887",,,"-130,653","989,927",,"848,770",,"-141,157",
Gauley River NRA,,,,,"4,811","3,246",,,"-1,565","9,021",,"5,244",,"-3,777",
General Grant NMEM,,,,,"5,226","1,465",,,"-3,761","8,332",,"1,700",,"-6,632",
George Rogers Clark NHP,,,,,"4,043","2,997",,,"-1,046","7,227",,"5,381",,"-1,846",
George Washington Birthplace NM,,,,,"3,262",863,,,"-2,399","5,294",,"1,511",,"-3,783",
George Washington Carver NM,,,,,"1,491","1,015",,,-476,"2,142",,"1,717",,-425,
George Washington MEM PKWY,,,,,"336,084","317,674",,,"-18,410","543,236",,"571,156",,"27,920",
Gettysburg NMP,,,,,"20,210","19,160",,,"-1,050","34,169",,"33,633",,-536,
Gila Cliff Dwellings NM,,,,,"2,647","2,874",,,227,"4,420",,"4,583",,163,
Glacier Bay NP & PRES,,,,,223,223,,,0,508,,508,,0,
Glacier NP,,,,,"16,658","15,202",,,"-1,456","30,268",,"33,186",,"2,918",
Glen Canyon NRA,,,,,"272,754","140,255",,,"-132,499","358,572",,"282,327",,"-76,245",
