Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
George Washington Carver NM,,,,,651,702,,,51,651,,702,,51,
George Washington MEM PKWY,,,,,"207,152","253,482",,,"46,330","207,152",,"253,482",,"46,330",
Gettysburg NMP,,,,,"13,959","14,473",,,514,"13,959",,"14,473",,514,
Gila Cliff Dwellings NM,,,,,"1,773","1,709",,,-64,"1,773",,"1,709",,-64,
Glacier Bay NP & PRES,,,,,285,285,,,0,285,,285,,0,
Glacier NP,,,,,"13,610","17,984",,,"4,374","13,610",,"17,984",,"4,374",
Glen Canyon NRA,,,,,"85,818","142,072",,,"56,254","85,818",,"142,072",,"56,254",
Golden Gate NRA,,,,,"1,055,976","1,050,437",,,"-5,539","1,055,976",,"1,050,437",,"-5,539",
Golden Spike NHP,,,,,787,"1,198",,,411,787,,"1,198",,411,
Governors Island NM,,,,,0,91,,,91,0,,91,,91,
Grand Canyon NP,,,,,"175,848","191,862",,,"16,014","175,848",,"191,862",,"16,014",
Grand Portage NM,,,,,"1,768","1,357",,,-411,"1,768",,"1,357",,-411,
Grand Teton NP,,,,,"51,698","50,745",,,-953,"51,698",,"50,745",,-953,
Grant-Kohrs Ranch NHS,,,,,588,452,,,-136,588,,452,,-136,
Great Basin NP,,,,,"1,374","4,023",,,"2,649","1,374",,"4,023",,"2,649",
Great Sand Dunes NP & PRES,,,,,"4,038","5,475",,,"1,437","4,038",,"5,475",,"1,437",
Great Smoky Mountains NP,,,,,"407,804","289,408",,,"-118,396","407,804",,"289,408",,"-118,396",
Greenbelt Park,,,,,"2,210","4,993",,,"2,783","2,210",,"4,993",,"2,783",
Guadalupe Mountains NP,,,,,"10,565","8,692",,,"-1,873","10,565",,"8,692",,"-1,873",
Guilford Courthouse NMP,,,,,"30,860","25,780",,,"-5,080","30,860",,"25,780",,"-5,080",
Gulf Islands NS,,,,,"481,290","490,371",,,"9,081","481,290",,"490,371",,"9,081",
