Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
John Muir NHS,,,,,"4,617","4,164",,,-453,"4,617",,"4,164",,-453,
Johnstown Flood NMEM,,,,,"1,213","2,164",,,951,"1,213",,"2,164",,951,
Joshua Tree NP,,,,,"1,634,333","1,657,144",,,"22,811","1,634,333",,"1,657,144",,"22,811",
Kalaupapa NHP,,,,,"8,444","6,376",,,"-2,068","8,444",,"6,376",,"-2,068",
Kaloko Honokohau NHP,,,,,"75,166","72,176",,,"-2,990","75,166",,"72,176",,"-2,990",
Katahdin Woods and Waters NM,,,,,"14,794","5,360",,,"-9,434","14,794",,"5,360",,"-9,434",
Kenai Fjords NP,,,,,692,610,,,-82,692,,610,,-82,
Kennesaw Mountain NBP,,,,,"109,336","98,475",,,"-10,861","109,336",,"98,475",,"-10,861",
Keweenaw NHP,,,,,74,90,,,16,74,,90,,16,
Kings Canyon NP,,,,,"75,027","112,562",,,"37,535","75,027",,"112,562",,"37,535",
Kings Mountain NMP,,,,,"4,715","5,968",,,"1,253","4,715",,"5,968",,"1,253",
Klondike Gold Rush NHP Seattle,,,,,"5,329","6,354",,,"1,025","5,329",,"6,354",,"1,025",
Knife River Indian Villages NHS,,,,,60,62,,,2,60,,62,,2,
Kobuk Valley NP,,,,,"10,617","10,347",,,-270,"10,617",,"10,347",,-270,
Korean War Veterans MEM,,,,,"71,452","67,667",,,"-3,785","71,452",,"67,667",,"-3,785",
Lake Chelan NRA,,,,,"1,892","2,056",,,164,"1,892",,"2,056",,164,
Lake Mead NRA,,,,,"3,095,257","2,964,552",,,"-130,705","3,095,257",,"2,964,552",,"-130,705",
Lake Meredith NRA,,,,,"176,142","290,518",,,"114,376","176,142",,"290,518",,"114,376",
Lake Roosevelt NRA,,,,,"61,765","77,460",,,"15,695","61,765",,"77,460",,"15,695",
Lassen Volcanic NP,,,,,"43,368","46,821",,,"3,453","43,368",,"46,821",,"3,453",
Lava Beds NM,,,,,"10,035","19,490",,,"9,455","10,035",,"19,490",,"9,455",
LBJ Memorial Grove on the Potomac,,,,,"4,704","4,725",,,21,"4,704",,"4,725",,21,
Lewis & Clark NHP,,,,,"8,598","11,449",,,"2,851","8,598",,"11,449",,"2,851",
Lincoln Boyhood NMEM,,,,,"1,751","2,293",,,542,"1,751",,"2,293",,542,
Lincoln Home NHS,,,,,"1,889","2,054",,,165,"1,889",,"2,054",,165,
Lincoln MEM,,,,,"184,219","174,459",,,"-9,760","184,219",,"174,459",,"-9,760",
Little Bighorn Battlefield NM,,,,,519,267,,,-252,519,,267,,-252,
Little River Canyon NPRES,,,,,"24,934","29,016",,,"4,082","24,934",,"29,016",,"4,082",
Little Rock Central High School NHS,,,,,"2,377","2,338",,,-39,"2,377",,"2,338",,-39,
Longfellow House Washington's HQ NHS,,,,,"4,094","2,850",,,"-1,244","4,094",,"2,850",,"-1,244",
Lowell NHP,,,,,"8,788","9,304",,,516,"8,788",,"9,304",,516,
Lyndon B. Johnson NHP,,,,,"31,002","7,189",,,"-23,813","31,002",,"7,189",,"-23,813",
Maggie L. Walker NHS,,,,,250,506,,,256,250,,506,,256,
Mammoth Cave NP,,,,,"100,102","92,563",,,"-7,539","100,102",,"92,563",,"-7,539",
Manassas NBP,,,,,"17,424","18,539",,,"1,115","17,424",,"18,539",,"1,115",
Manhattan Project NHP,,,,,507,"1,698",,,"1,191",507,,"1,698",,"1,191",
