ParkName,Date,RecreationVisits,predicted,lower_bound,upper_bound
Pinnacles NP,2006-04-01,31258.0,19957.228771996724,10777.61847152022,29136.83907247323
Pinnacles NP,2010-03-01,31234.0,19005.297812011533,9845.408428728006,28165.18719529506
Pinnacles NP,2010-04-01,46729.0,31664.077340687585,22504.298220233242,40823.85646114193
Pinnacles NP,2010-06-01,12191.0,24061.242208440803,14901.609075737035,33220.87534114457
Pinnacles NP,2010-08-01,27740.0,18364.13966942323,9204.573977740023,27523.70536110644
Pinnacles NP,2011-02-01,28625.0,13881.787381741677,4725.977240273158,23037.597523210196
Pinnacles NP,2011-05-01,59878.0,25154.75524118296,15999.261607918934,34310.24887444699
Pinnacles NP,2011-07-01,43868.0,28093.826675845346,18938.43138939546,37249.22196229523
Pinnacles NP,2011-08-01,52993.0,35216.52154098647,26061.14933959383,44371.89374237911
Pinnacles NP,2012-01-01,13206.0,26443.57447155288,17291.4594834938,35595.68945961197
Pinnacles NP,2012-05-01,19532.0,29667.125602341624,20515.58640059072,38818.66480409253
Pinnacles NP,2012-10-01,25848.0,12479.272221722633,3327.872957137897,21630.67148630737
Pinnacles NP,2018-07-01,12797.0,23471.38965821901,14339.48704440505,32603.29227203297
Pinnacles NP,2019-01-01,1154.0,15957.210419987756,6827.553730629226,25086.867109346284
Pinnacles NP,2019-04-01,16234.0,29490.070433098168,20360.755419818488,38619.38544637785
Pinnacles NP,2020-01-01,23959.0,11558.658085525527,2431.5948867276747,20685.72128432338
Pinnacles NP,2020-04-01,1635.0,25674.38324796729,16547.645247466855,34801.12124846772
Pinnacles NP,2020-11-01,23139.0,12803.47134379901,3676.9801930278845,21929.962494570136
Pinnacles NP,2021-01-01,26793.0,17203.639901694463,8079.048660915527,26328.2311424734
Pinnacles NP,2021-02-01,31316.0,22187.000583072026,13062.581483448519,31311.41968269553
Pinnacles NP,2022-04-01,23642.0,38176.070033238124,29054.133109930004,47298.00695654625
Pinnacles NP,2023-04-01,56339.0,30767.96217999063,21648.26495832849,39887.65940165277
Pinnacles NP,2023-07-01,38823.0,25408.485425979678,16288.881286190159,34528.089565769194
Pinnacles NP,2023-08-01,22034.0,32632.75614181206,23513.164010386427,41752.348273237694
Pinnacles NP,2024-03-01,44547.0,28727.482812307444,19609.875235370328,37845.090389244564
Pinnacles NP,2024-04-01,35849.0,45533.07324469642,36415.517795055086,54650.62869433775
Pinnacles NP,2025-03-01,44670.0,35188.65947578642,26073.104232696565,44304.214718876276
Redwood NP,1979-06-01,64665.0,24066.664171636425,1688.942589253602,46444.38575401925
Redwood NP,1980-07-01,78046.0,50526.3970803508,29682.322699913795,71370.4714607878
Redwood NP,1981-09-01,61548.0,89830.12229556328,69643.89792791678,110016.34666320978
Redwood NP,1984-07-01,92009.0,71924.67723370921,52471.4864546274,91377.86801279103
Redwood NP,1985-09-01,50367.0,70911.03442876185,51554.93210167963,90267.13675584407
Redwood NP,1995-08-01,132599.0,89734.31360944378,70597.46713320877,108871.16008567878
Redwood NP,1995-09-01,59038.0,101176.86799174233,82040.0223674518,120313.71361603285
Redwood NP,2012-05-01,10834.0,32270.862331449105,13142.274001780777,51399.45066111743
Redwood NP,2020-03-01,9079.0,30793.10941572622,11664.552266110459,49921.66656534198
Redwood NP,2025-05-01,119782.0,82474.25342340567,63345.698318758514,101602.80852805282
Redwood NP,2025-06-01,222029.0,125910.61207821529,106782.0569743316,145039.16718209896
Rocky Mountain NP,1979-06-01,368257.0,71629.16717065922,-21597.963672984435,164856.29801430285
Rocky Mountain NP,1979-07-01,553294.0,298869.9542396533,205883.2414234758,391856.6670558308
Rocky Mountain NP,1979-08-01,600221.0,451053.8134722372,358219.10006967257,543888.5268748018
Rocky Mountain NP,1979-09-01,376202.0,500042.0277909773,407282.3762558495,592801.6793261052
Rocky Mountain NP,1979-10-01,198374.0,340582.09650321427,247839.57890131115,433324.6141051174
Rocky Mountain NP,1979-11-01,50283.0,212627.5462478125,119888.06092256232,305367.0315730627
Rocky Mountain NP,1980-01-01,42902.0,132406.8403182831,44223.28383156149,220590.39680500468
Rocky Mountain NP,1980-06-01,410449.0,320993.4707046071,233687.00934723564,408299.9320619785
Rocky Mountain NP,1981-07-01,674786.0,570428.7033558874,485620.12080372614,655237.2859080487
Rocky Mountain NP,1981-10-01,202193.0,296192.95617519534,211423.16309105582,380962.7492593349
Rocky Mountain NP,1995-09-01,404990.0,489780.71179928497,407803.7427064425,571757.6808921274
Rocky Mountain NP,2013-06-01,602508.0,505802.4839398645,423827.1716441687,587777.7962355603
Rocky Mountain NP,2013-09-01,253467.0,524744.1451436254,442768.83285497624,606719.4574322747
