year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1996,KENTUCKY,KY,DEMOCRAT,DEMOCRAT,False,No Flip,1989082,-22.48153312657398,-7.418547852728043,-0.43044982559793915
2000,KENTUCKY,KY,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1841521,-7.418547852728043,7.548054027078703,-68.28067667976634
2004,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,1980520,7.548054027078703,-70.50683658837073,-67.32868135641145
2008,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,584118,-70.50683658837073,10.775904868536838,25.410276690668667
2012,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,647062,10.775904868536838,13.210789692486962,-42.091947912255705
2016,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,732544,13.210789692486962,-48.84935239384938,
2020,KENTUCKY,KY,REPUBLICAN,REPUBLICAN,False,No Flip,374701,-48.84935239384938,,
1980,MAINE,ME,REPUBLICAN,REPUBLICAN,False,No Flip,3273095,,19.697014599331826,43.31875487879209
1984,MAINE,ME,REPUBLICAN,REPUBLICAN,False,No Flip,3917797,19.697014599331826,19.734611058204393,-32.750752527504616
1988,MAINE,ME,REPUBLICAN,REPUBLICAN,False,No Flip,4690959,19.734611058204393,-43.83474679697691,-36.95517270562373
1992,MAINE,ME,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,2634689,-43.83474679697691,12.248808113595192,3.3068419080961737
1996,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2957407,12.248808113595192,-7.9662014731147925,-24.178613224354983
2000,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2721814,-7.9662014731147925,-17.615715107645123,-22.002127992581418
2004,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2242347,-17.615715107645123,-5.324332050302651,10.515990611622554
2008,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2122957,-5.324332050302651,16.73114434253732,57.82199074215823
2012,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2478152,16.73114434253732,35.20127094706055,9.603204323221497
2016,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,3350493,35.20127094706055,-18.933303248208546,
2020,MAINE,ME,DEMOCRAT,DEMOCRAT,False,No Flip,2716134,-18.933303248208546,,
1980,MICHIGAN,MI,REPUBLICAN,REPUBLICAN,False,No Flip,14996,,10.989597225926914,77.72739397172579
1984,MICHIGAN,MI,REPUBLICAN,REPUBLICAN,False,No Flip,16644,10.989597225926914,60.1297764960346,37.73131458783946
1988,MICHIGAN,MI,REPUBLICAN,REPUBLICAN,False,No Flip,26652,60.1297764960346,-13.987693231277202,-11.526339486717694
1992,MICHIGAN,MI,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,22924,-13.987693231277202,2.8616297330308846,-7.337288431338336
1996,MICHIGAN,MI,DEMOCRAT,DEMOCRAT,False,No Flip,23580,2.8616297330308846,-9.91518235793045,-26.25106022052587
2000,MICHIGAN,MI,DEMOCRAT,DEMOCRAT,False,No Flip,21242,-9.91518235793045,-18.133885698145182,-33.05244327276151
2004,MICHIGAN,MI,DEMOCRAT,DEMOCRAT,False,No Flip,17390,-18.133885698145182,-18.22311673375503,-3.944795859689477
2008,MICHIGAN,MI,DEMOCRAT,DEMOCRAT,False,No Flip,14221,-18.22311673375503,17.46009422684762,76.0705998171718
2012,MICHIGAN,MI,DEMOCRAT,DEMOCRAT,False,No Flip,16704,17.46009422684762,49.89822796934866,-60.23108237547893
2016,MICHIGAN,MI,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,25039,49.89822796934866,-73.46938775510205,
2020,MICHIGAN,MI,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,6643,-73.46938775510205,,
1980,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,272414,,-33.655759248790446,-11.670839237337288
1984,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,180731,-33.655759248790446,33.13764655759112,35.2855901865203
1988,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,240621,33.13764655759112,1.6133255202164398,8.147667909284726
1992,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,244503,1.6133255202164398,6.430595943608054,-5.932442546717218
1996,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,260226,6.430595943608054,-11.616056812155588,-3.3067410635370798
2000,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,229998,-11.616056812155588,9.401386099009557,-2.536109009643562
2004,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,251621,9.401386099009557,-10.91164886873512,-14.310013870066488
2008,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,224165,-10.91164886873512,-3.8146008520509445,7.916936185399148
2012,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,215614,-3.8146008520509445,12.196796126411085,22.019442151251774
2016,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,241912,12.196796126411085,8.754836469459969,
2020,MINNESOTA,MN,DEMOCRAT,DEMOCRAT,False,No Flip,263091,8.754836469459969,,
1980,MISSOURI,MO,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1969801,,-13.128635836818034,33.69436811129653
1984,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,1711193,-13.128635836818034,53.899238718250956,50.82623643271098
1988,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,2633513,53.899238718250956,-1.9967624993687139,55.991597535307406
1992,MISSOURI,MO,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,2580928,-1.9967624993687139,59.1698412354006,55.162871649267245
1996,MISSOURI,MO,DEMOCRAT,DEMOCRAT,False,No Flip,4108059,59.1698412354006,-2.517417593077412,-24.447165924345292
2000,MISSOURI,MO,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,4004642,-2.517417593077412,-22.496068312723086,-43.9188072242163
2004,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,3103755,-22.496068312723086,-27.640841496832063,-11.656493505447434
2008,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,2245851,-27.640841496832063,22.09029005040851,-43.36868296249395
2012,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,2741966,22.09029005040851,-53.61521623535813,-82.27472550717259
2016,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,1271855,-53.61521623535813,-61.786445781948416,
2020,MISSOURI,MO,REPUBLICAN,REPUBLICAN,False,No Flip,486021,-61.786445781948416,,
1980,MONTANA,MT,REPUBLICAN,REPUBLICAN,False,No Flip,1475538,,32.4701905338934,23.7097248596783
