State,Year,Decade,StateCategory,RepublicanPct,TotalVisits,YoYChange
ME,2009,2000,Swing,33.33333333333333,2274798,7.15233516269995
ME,2010,2010,Swing,33.33333333333333,2551308,12.155365003837703
ME,2011,2010,Swing,33.33333333333333,2421745,-5.078297093098913
ME,2012,2010,Swing,33.33333333333333,2478152,2.3291882506209367
ME,2013,2010,Swing,33.33333333333333,2302022,-7.1073122229790595
ME,2014,2010,Swing,33.33333333333333,2610229,13.3885340800392
ME,2015,2010,Swing,33.33333333333333,2858284,9.503189183784258
ME,2016,2010,Swing,33.33333333333333,3350493,17.220437157399335
ME,2017,2010,Swing,33.33333333333333,3556371,6.14470765943997
ME,2018,2010,Swing,33.33333333333333,3584675,0.795867472769292
ME,2019,2010,Swing,33.33333333333333,3484386,-2.797715274048554
ME,2020,2020,Swing,33.33333333333333,2716134,-22.048418286607742
ME,2021,2020,Swing,33.33333333333333,4116198,51.5462050105039
ME,2022,2020,Swing,33.33333333333333,4017360,-2.4011964439028444
ME,2023,2020,Swing,33.33333333333333,3926990,-2.2494872254415834
ME,2024,2020,Swing,33.33333333333333,4008761,2.082281849457218
MI,1980,1980,Swing,41.66666666666667,14996,1.2559081701553005
MI,1981,1980,Swing,41.66666666666667,14564,-2.880768204854628
MI,1982,1980,Swing,41.66666666666667,13250,-9.022246635539686
MI,1983,1980,Swing,41.66666666666667,12973,-2.090566037735849
MI,1984,1980,Swing,41.66666666666667,16644,28.297232714098513
MI,1985,1980,Swing,41.66666666666667,17836,7.161739966354242
MI,1986,1980,Swing,41.66666666666667,26198,46.882709127607086
MI,1987,1980,Swing,41.66666666666667,31958,21.986411176425683
MI,1988,1980,Swing,41.66666666666667,26652,-16.603041491958194
MI,1989,1980,Swing,41.66666666666667,27448,2.986642653459403
MI,1990,1990,Swing,41.66666666666667,23619,-13.950014573010783
MI,1991,1990,Swing,41.66666666666667,22172,-6.126423641983149
MI,1992,1990,Swing,41.66666666666667,22924,3.391665163268988
MI,1993,1990,Swing,41.66666666666667,22116,-3.5246902809282847
MI,1994,1990,Swing,41.66666666666667,25041,13.225718936516548
MI,1995,1990,Swing,41.66666666666667,23574,-5.85839223673176
MI,1996,1990,Swing,41.66666666666667,23580,0.025451768897938407
MI,1997,1990,Swing,41.66666666666667,21503,-8.808312128922816
MI,1998,1990,Swing,41.66666666666667,24202,12.551736966934845
MI,1999,1990,Swing,41.66666666666667,23660,-2.239484340137179
MI,2000,2000,Swing,41.66666666666667,21242,-10.219780219780219
MI,2001,2000,Swing,41.66666666666667,19564,-7.899444496751719
MI,2002,2000,Swing,41.66666666666667,19604,0.20445716622367613
MI,2003,2000,Swing,41.66666666666667,17971,-8.329932666802693
MI,2004,2000,Swing,41.66666666666667,17390,-3.232986478214902
MI,2005,2000,Swing,41.66666666666667,17501,0.6382978723404255
MI,2006,2000,Swing,41.66666666666667,17180,-1.8341809039483459
MI,2007,2000,Swing,41.66666666666667,16039,-6.6414435389988355
MI,2008,2000,Swing,41.66666666666667,14221,-11.334871251324897
MI,2009,2000,Swing,41.66666666666667,14834,4.310526685887068
MI,2010,2010,Swing,41.66666666666667,15893,7.13900498853984
